Customer_ID,Region,State,City_in_state,Job,Edu,Default,Balance,CarLoan
111178,East,New York,New York City,management,tertiary,0,191,0
111199,East,New York,New York City,admin.,secondary,0,897,0
111241,East,Massachusetts,Boston,retired,tertiary,0,846,0
111297,West,California,Los Angeles,student,NA,0,358,0
111374,Central,Illinois,Chicago,retired,primary,0,67,0
111395,West,Washington,Seattle,services,NA,0,281,0
111423,East,New York,New York City,technician,tertiary,0,3689,0
111451,West,California,San Diego,student,NA,0,722,0
111458,Central,Wisconsin,Watertown,management,tertiary,0,3634,0
111500,Central,Michigan,Clinton,technician,tertiary,0,911,1
111507,Central,Texas,Houston,blue-collar,primary,0,994,0
111514,South,Tennessee,Columbia,housemaid,primary,0,3512,0
111647,East,New York,New York City,technician,secondary,0,226,0
111682,East,Massachusetts,Boston,entrepreneur,secondary,0,11887,0
111689,West,California,Los Angeles,technician,tertiary,0,386,0
111745,West,California,Los Angeles,management,tertiary,0,302,1
111794,West,California,Lemon Grove,admin.,tertiary,0,364,1
111808,West,Arizona,Scottsdale,technician,secondary,0,925,0
111829,West,California,Los Angeles,housemaid,secondary,0,243,0
112025,West,New Mexico,Santa Fe,management,tertiary,0,9407,0
112039,East,Massachusetts,Boston,management,tertiary,0,10884,0
112102,East,New York,New York City,blue-collar,primary,0,5603,0
112109,South,Georgia,Atlanta,admin.,secondary,0,2129,0
112116,East,Massachusetts,Boston,retired,primary,0,2074,0
112123,West,Utah,Provo,technician,tertiary,0,3338,0
112158,Central,Illinois,Chicago,management,tertiary,0,388,0
112319,East,New York,New York City,retired,primary,0,155,0
112326,East,New York,New York City,services,secondary,0,462,0
112340,Central,Illinois,Chicago,technician,tertiary,0,2611,0
112389,East,New York,New York City,retired,NA,0,739,0
112452,Central,Texas,Dallas,technician,secondary,0,159,0
112508,West,Oregon,West Linn,admin.,secondary,0,0,0
112515,West,Idaho,Boise,blue-collar,secondary,0,1905,0
112557,East,Ohio,Mount Vernon,technician,tertiary,0,1636,0
112564,West,California,Los Angeles,technician,secondary,0,116,0
112571,East,New York,New York City,blue-collar,secondary,0,1730,0
112613,East,New York,Troy,blue-collar,secondary,0,1464,0
112669,West,California,Los Angeles,management,tertiary,0,1379,0
112676,South,Arkansas,North Little Rock,technician,secondary,0,1,0
112697,East,New York,New York City,student,secondary,0,1779,0
112718,West,California,Los Gatos,technician,secondary,0,-239,1
112774,Central,Texas,Houston,management,secondary,0,867,0
112809,East,Massachusetts,Boston,admin.,secondary,0,2374,0
112865,Central,Kansas,Kansas City,unemployed,primary,0,3391,0
112872,South,North Carolina,Sanford,entrepreneur,primary,0,1443,0
112893,East,Maryland,Crofton,admin.,secondary,0,684,0
112914,East,New York,Ithaca,management,tertiary,0,697,0
112928,South,Arkansas,Pine Bluff,student,secondary,0,431,0
112942,South,North Carolina,Charlotte,blue-collar,primary,0,-546,0
112977,East,Massachusetts,Boston,technician,tertiary,0,1699,0
113061,East,New York,New York City,management,tertiary,0,0,0
113110,Central,Illinois,Chicago,admin.,NA,0,257,0
113138,East,Pennsylvania,Philadelphia,technician,tertiary,0,2838,0
113145,East,New Jersey,Willingboro,unemployed,secondary,0,957,0
113166,West,California,Los Angeles,management,tertiary,0,2551,0
113173,West,California,San Francisco,retired,tertiary,0,2812,0
113243,Central,Michigan,Detroit,housemaid,primary,0,0,0
113362,Central,Illinois,Chicago,management,tertiary,0,393,0
113404,East,New York,Bethpage,management,tertiary,0,5958,0
113481,East,New York,New York City,technician,secondary,0,156,1
113509,West,California,Los Angeles,unemployed,tertiary,0,1291,0
113516,Central,Illinois,Chicago,retired,primary,0,720,0
113558,West,California,San Diego,technician,tertiary,0,13711,0
113579,South,Florida,Tampa,retired,secondary,0,2473,0
113621,West,California,San Francisco,blue-collar,secondary,1,1085,1
113747,East,New York,New York City,technician,tertiary,0,0,0
113817,South,Florida,Miami,technician,secondary,0,0,0
113852,West,California,Los Angeles,technician,tertiary,0,15161,0
113887,South,Florida,Miami,technician,tertiary,0,882,0
113929,Central,Iowa,Urbandale,management,secondary,0,336,0
113971,East,District of Columbia,Washington,self-employed,tertiary,0,1616,0
114069,West,California,Los Angeles,retired,primary,0,3025,0
114104,South,North Carolina,Charlotte,management,secondary,0,2840,0
114174,South,Florida,West Palm Beach,blue-collar,secondary,0,1857,0
114188,Central,Iowa,Ankeny,services,secondary,0,1347,0
114216,West,California,Los Angeles,management,tertiary,0,495,0
114237,East,New York,New York City,technician,tertiary,0,880,1
114293,East,Massachusetts,Boston,blue-collar,tertiary,0,455,0
114300,South,Florida,Miami,technician,secondary,0,313,0
114412,East,New York,New York City,blue-collar,primary,1,-462,0
114433,West,Washington,Olympia,retired,secondary,0,445,0
114440,West,Washington,Seattle,technician,secondary,0,3450,0
114468,West,Oregon,Corvallis,services,secondary,0,0,1
114489,East,New York,New York City,blue-collar,primary,0,116,0
114552,Central,Texas,Dallas,services,secondary,0,133,0
114622,West,California,Los Angeles,unemployed,secondary,0,2245,0
114636,West,California,Los Angeles,unemployed,secondary,0,1289,0
114643,East,Pennsylvania,Philadelphia,management,tertiary,0,840,0
114713,East,New York,New York City,management,tertiary,0,83,0
114727,Central,Illinois,Chicago,management,tertiary,0,624,0
114776,Central,Texas,Dallas,self-employed,tertiary,0,61,0
114839,East,New York,Deer Park,management,tertiary,0,8828,0
114923,West,California,Los Angeles,technician,secondary,0,776,0
114972,East,New York,Utica,technician,NA,0,189,0
115091,West,California,Los Angeles,unemployed,secondary,0,1978,0
115154,East,Maine,Saco,technician,secondary,0,412,0
115259,South,Florida,Miami,technician,tertiary,0,53,0
115364,West,California,Los Angeles,technician,tertiary,0,508,1
115427,South,North Carolina,Charlotte,retired,primary,0,46,0
115455,West,California,Long Beach,retired,tertiary,0,1948,0
115504,Central,Michigan,Detroit,management,tertiary,0,630,0
115525,East,Maryland,Cumberland,technician,tertiary,0,1075,0
115574,Central,Oklahoma,Norman,student,tertiary,0,0,0
115588,Central,Kansas,Leavenworth,retired,tertiary,0,13094,0
115602,South,North Carolina,Charlotte,management,tertiary,0,6060,0
115651,West,California,San Diego,technician,tertiary,0,120,0
115742,West,California,Los Angeles,services,secondary,0,52,0
115756,Central,Texas,Dallas,entrepreneur,tertiary,0,624,0
115791,East,New York,New York City,admin.,secondary,0,464,0
115798,South,Georgia,Columbus,technician,secondary,0,941,1
115812,Central,Illinois,Chicago,admin.,tertiary,0,1000,0
115819,Central,Michigan,Detroit,management,tertiary,0,3696,0
115847,East,Massachusetts,Boston,management,tertiary,0,-92,1
115917,South,Florida,Miami,housemaid,primary,0,2152,0
115931,West,California,Los Altos,admin.,secondary,0,-109,1
115938,South,Florida,Miami,retired,primary,0,3624,0
115973,Central,Texas,Dallas,services,secondary,0,608,1
115987,Central,Michigan,Detroit,services,secondary,0,0,0
115994,East,Massachusetts,Boston,self-employed,tertiary,0,6,0
116092,East,Maryland,Dundalk,housemaid,secondary,0,962,0
116204,West,California,Los Angeles,management,tertiary,0,1303,0
116225,Central,Oklahoma,Norman,blue-collar,secondary,0,7895,0
116239,Central,Illinois,Chicago,management,tertiary,0,1,0
116407,East,District of Columbia,Washington,blue-collar,secondary,0,225,0
116519,East,Maryland,Cumberland,student,tertiary,0,10086,0
116645,Central,Michigan,Detroit,admin.,secondary,0,3337,0
116659,Central,Texas,Houston,admin.,secondary,0,2374,0
116701,East,Pennsylvania,Philadelphia,management,tertiary,0,623,0
116715,West,Washington,Seattle,admin.,NA,0,4629,0
116729,West,Washington,Seattle,management,tertiary,0,2281,0
116736,West,California,Los Angeles,technician,tertiary,0,3234,0
116750,West,California,Manhattan Beach,admin.,secondary,0,766,0
116855,East,Maine,Portland,student,tertiary,0,64,0
116932,West,California,Los Angeles,admin.,secondary,0,0,0
116974,South,Florida,Hollywood,student,primary,0,608,0
117058,East,New York,New York City,technician,secondary,0,973,0
117079,South,Georgia,Atlanta,entrepreneur,secondary,0,496,0
117135,West,California,San Diego,blue-collar,secondary,0,501,1
