sales_id,ad_placed_on,sold_on,original_selling_price,Region,State,City,seller_type,owner,car_id
2112,13-02-2017 13:56,,700000,Central,Illinois,Pekin,Individual,First Owner,125588
2113,13-02-2017 13:58,21-02-2017 14:51,376000,Central,Illinois,Pekin,Individual,First Owner,125589
2115,13-02-2017 14:04,25-02-2017 03:54,75000,Central,Illinois,Pekin,Individual,Fourth & Above Owner,125591
2116,13-02-2017 14:20,22-02-2017 13:33,440000,Central,Illinois,Park Ridge,Individual,Third Owner,125592
2117,13-02-2017 14:28,07-03-2017 06:52,390000,Central,Illinois,Park Ridge,Individual,First Owner,125593
2118,13-02-2017 14:48,20-02-2017 11:27,725000,Central,Illinois,Park Ridge,Individual,Second Owner,125594
2119,13-02-2017 14:53,02-03-2017 16:23,325000,Central,Illinois,Park Ridge,Individual,Second Owner,125595
2120,13-02-2017 15:20,02-03-2017 14:54,170000,Central,Illinois,Peoria,Individual,Second Owner,125596
2121,13-02-2017 15:23,24-02-2017 17:42,215000,Central,Illinois,Peoria,Individual,Third Owner,125597
2122,13-02-2017 15:30,23-02-2017 10:47,350000,East,New Jersey,Bayonne,Individual,Third Owner,125598
2123,13-02-2017 15:36,20-02-2017 11:27,80000,East,Maine,Auburn,Individual,Fourth & Above Owner,125599
2124,13-02-2017 15:54,20-02-2017 16:27,195000,West,California,Saratoga,Individual,Second Owner,125600
2126,13-02-2017 15:55,09-03-2017 09:37,335000,West,California,Saratoga,Dealer,First Owner,125602
2127,13-02-2017 16:12,01-03-2017 11:16,475000,West,California,Saratoga,Dealer,First Owner,125603
2128,13-02-2017 16:15,20-02-2017 12:41,484999,West,California,Saratoga,Dealer,First Owner,125604
2129,13-02-2017 16:18,15-02-2017 11:35,650000,West,California,Saratoga,Individual,Second Owner,125605
2130,13-02-2017 16:22,13-03-2017 11:14,1850000,Central,Texas,Waco,Individual,First Owner,125606
2131,13-02-2017 16:25,13-03-2017 15:05,700000,Central,Texas,The Colony,Individual,Second Owner,125607
2132,13-02-2017 16:45,04-03-2017 08:42,3000000,Central,Texas,Waco,Individual,First Owner,125608
2133,13-02-2017 16:46,22-02-2017 15:35,900000,Central,Texas,Waxahachie,Individual,First Owner,125609
2134,13-02-2017 17:16,17-02-2017 15:55,350000,Central,Texas,The Colony,Individual,First Owner,125610
2135,13-02-2017 17:17,,285000,Central,Texas,The Colony,Individual,Second Owner,125611
2136,13-02-2017 17:18,,1850000,Central,Texas,The Colony,Individual,First Owner,125612
2137,13-02-2017 17:59,24-02-2017 09:36,750000,Central,Texas,Waco,Dealer,First Owner,125613
2138,13-02-2017 18:00,21-02-2017 12:21,1650000,Central,Texas,Victoria,Dealer,First Owner,125614
2139,13-02-2017 18:21,23-02-2017 11:45,600000,Central,Texas,Waco,Individual,First Owner,125615
2140,13-02-2017 18:32,,565000,Central,Texas,Waco,Individual,First Owner,125616
2141,13-02-2017 18:38,22-02-2017 11:19,86000,Central,Texas,Victoria,Individual,First Owner,125617
2142,13-02-2017 18:39,23-02-2017 15:54,329000,Central,Texas,Victoria,Individual,First Owner,125618
2143,13-02-2017 18:50,02-03-2017 15:38,650000,Central,Texas,Waxahachie,Individual,First Owner,125619
2144,13-02-2017 19:14,21-03-2017 15:49,822000,Central,Texas,Waxahachie,Individual,First Owner,125620
2145,13-02-2017 19:20,01-03-2017 10:58,345000,Central,Texas,Tyler,Individual,Second Owner,125621
2146,13-02-2017 19:26,23-02-2017 15:11,30000,Central,Texas,The Woodlands,Individual,First Owner,125622
2147,13-02-2017 19:31,04-03-2017 09:33,330000,Central,Texas,The Woodlands,Individual,Second Owner,125623
2148,13-02-2017 20:16,17-02-2017 08:25,300000,Central,Texas,Waco,Individual,Second Owner,125624
2149,13-02-2017 20:21,17-02-2017 20:24,200000,Central,Texas,Victoria,Individual,Second Owner,125625
2151,13-02-2017 20:37,24-02-2017 17:35,90000,Central,Texas,Tyler,Individual,Second Owner,125627
2152,13-02-2017 21:14,21-02-2017 14:21,200000,Central,Texas,Tyler,Individual,Second Owner,125628
2153,13-02-2017 21:18,23-02-2017 10:44,550000,Central,Texas,Waco,Individual,First Owner,125629
2154,13-02-2017 21:39,01-03-2017 15:14,250000,East,Maryland,Laurel,Individual,First Owner,125630
2155,13-02-2017 21:40,21-02-2017 16:44,975000,East,Maryland,Laurel,Individual,First Owner,125631
2156,13-02-2017 22:09,03-03-2017 06:48,900000,East,Maryland,Hagerstown,Individual,Second Owner,125632
2157,13-02-2017 22:25,23-02-2017 14:43,610000,West,Colorado,Louisville,Individual,First Owner,125633
2158,13-02-2017 22:29,22-02-2017 17:06,620000,East,Maryland,Hagerstown,Individual,First Owner,125634
2159,13-02-2017 22:31,09-03-2017 13:52,400000,East,Maryland,Hagerstown,Individual,First Owner,125635
2160,13-02-2017 22:44,17-02-2017 11:11,500000,East,Maryland,Laurel,Individual,First Owner,125636
2161,13-02-2017 22:48,01-03-2017 09:21,200000,East,Maryland,Laurel,Individual,First Owner,125637
2162,13-02-2017 23:08,07-03-2017 07:58,360000,West,Colorado,Louisville,Individual,First Owner,125638
2163,13-02-2017 23:24,01-03-2017 10:13,252000,East,Maryland,Laurel,Individual,First Owner,125639
2164,13-02-2017 23:26,24-02-2017 16:42,280000,East,Maryland,Laurel,Individual,Second Owner,125640
2165,14-02-2017 01:42,01-03-2017 16:41,509999,East,Massachusetts,Townsend,Individual,Second Owner,125641
2166,14-02-2017 06:59,21-02-2017 16:17,1050000,West,California,San Francisco,Individual,First Owner,125642
2167,14-02-2017 07:59,02-03-2017 20:26,200000,West,California,San Gabriel,Individual,Fourth & Above Owner,125643
2168,14-02-2017 08:14,20-02-2017 11:41,60000,West,California,San Francisco,Individual,Second Owner,125644
2169,14-02-2017 08:41,02-03-2017 13:58,320000,West,California,San Francisco,Individual,Second Owner,125645
2170,14-02-2017 08:48,07-03-2017 13:54,520000,West,California,San Gabriel,Individual,First Owner,125646
2171,14-02-2017 09:04,17-02-2017 14:53,250000,West,California,San Gabriel,Individual,Second Owner,125647
2172,14-02-2017 09:21,24-02-2017 08:31,725000,West,California,San Gabriel,Individual,First Owner,125648
2173,14-02-2017 10:02,02-03-2017 04:28,585000,West,California,San Francisco,Individual,First Owner,125649
2174,14-02-2017 10:16,03-03-2017 17:28,430000,West,California,San Francisco,Individual,First Owner,125650
2175,14-02-2017 10:27,13-03-2017 01:18,235000,West,California,San Francisco,Individual,Second Owner,125651
2176,14-02-2017 10:38,22-02-2017 09:13,350000,West,California,San Francisco,Individual,Third Owner,125652
2177,14-02-2017 10:44,24-02-2017 04:05,131000,East,Massachusetts,Andover,Individual,Third Owner,125653
2178,14-02-2017 10:49,,450000,East,Massachusetts,Easton,Individual,First Owner,125654
2179,14-02-2017 10:52,20-02-2017 08:31,750000,West,California,San Gabriel,Individual,First Owner,125655
2180,14-02-2017 10:55,17-02-2017 12:26,200000,Central,Missouri,Kirkwood,Individual,First Owner,125656
2181,14-02-2017 10:59,27-02-2017 20:48,125000,Central,Missouri,Kirkwood,Individual,Fourth & Above Owner,125657
2182,14-02-2017 11:32,03-03-2017 09:55,500000,Central,Missouri,Joplin,Individual,First Owner,125658
2183,14-02-2017 11:45,,380000,Central,Missouri,Kansas City,Individual,Third Owner,125659
2184,14-02-2017 12:20,22-02-2017 14:37,128000,Central,Missouri,Kansas City,Individual,First Owner,125660
2185,14-02-2017 12:44,24-02-2017 09:13,250000,Central,Missouri,Kirkwood,Individual,Third Owner,125661
2186,14-02-2017 12:49,25-02-2017 00:31,690000,Central,Missouri,Kirkwood,Individual,First Owner,125662
2187,14-02-2017 12:52,06-03-2017 08:32,650000,Central,Missouri,Joplin,Individual,Second Owner,125663
2188,14-02-2017 12:53,09-03-2017 06:16,560000,Central,Missouri,Joplin,Individual,Second Owner,125664
2190,14-02-2017 12:56,01-03-2017 10:03,400000,Central,Missouri,Kansas City,Individual,First Owner,125666
2191,14-02-2017 12:58,08-03-2017 04:16,200000,Central,Missouri,Kansas City,Individual,First Owner,125667
2192,14-02-2017 13:01,17-02-2017 17:59,950000,Central,Missouri,Kansas City,Individual,First Owner,125668
2193,14-02-2017 13:18,21-02-2017 16:44,300000,Central,Missouri,Kirkwood,Individual,Second Owner,125669
2194,14-02-2017 13:54,21-02-2017 15:49,315000,Central,Missouri,Kirkwood,Individual,Second Owner,125670
2195,14-02-2017 14:01,,220000,Central,Missouri,Kirkwood,Individual,First Owner,125671
2196,14-02-2017 14:17,09-03-2017 17:55,130000,Central,Missouri,Kansas City,Individual,Second Owner,125672
2197,14-02-2017 14:24,03-03-2017 13:41,595000,West,Colorado,Louisville,Individual,Second Owner,125673
2198,14-02-2017 14:26,,110000,Central,Kansas,Overland Park,Individual,First Owner,125674
2199,14-02-2017 14:28,,680000,Central,Kansas,Overland Park,Individual,First Owner,125675
2200,14-02-2017 14:34,22-02-2017 10:12,280000,Central,Kansas,Shawnee,Individual,First Owner,125676
2201,14-02-2017 14:36,02-03-2017 10:22,530000,Central,Kansas,Shawnee,Individual,Second Owner,125677
2202,14-02-2017 14:42,06-03-2017 05:34,610000,West,Colorado,Louisville,Individual,First Owner,125678
2203,14-02-2017 14:49,,500000,West,Colorado,Louisville,Individual,Second Owner,125679
2204,14-02-2017 15:31,23-02-2017 16:43,500000,Central,Kansas,Shawnee,Individual,First Owner,125680
2205,14-02-2017 15:39,20-02-2017 12:31,250000,West,Colorado,Louisville,Individual,Second Owner,125681
2206,14-02-2017 15:42,06-03-2017 14:06,325000,West,Colorado,Louisville,Individual,First Owner,125682
2207,14-02-2017 15:44,23-02-2017 13:04,550000,West,California,Chico,Individual,First Owner,125683
2208,14-02-2017 16:04,,720000,West,California,Chico,Individual,First Owner,125684
2209,14-02-2017 16:07,23-02-2017 13:27,950000,West,California,Chico,Individual,First Owner,125685
2210,14-02-2017 16:20,24-02-2017 12:27,350000,East,Maine,Bangor,Individual,First Owner,125686
2211,14-02-2017 16:25,02-03-2017 13:05,500000,West,California,Chico,Individual,First Owner,125687
2212,14-02-2017 16:28,14-03-2017 10:14,380000,West,California,Chico,Individual,First Owner,125688
2213,14-02-2017 16:38,21-02-2017 10:04,380000,South,Virginia,Winchester,Individual,First Owner,125689
2214,14-02-2017 16:43,23-02-2017 09:25,900000,South,Virginia,Winchester,Individual,First Owner,125690
2215,14-02-2017 16:58,20-02-2017 14:03,295000,West,Washington,Auburn,Individual,First Owner,125691
2216,14-02-2017 17:04,29-03-2017 18:53,640000,South,Virginia,Winchester,Individual,First Owner,125692
2217,14-02-2017 17:33,,790000,West,Washington,Auburn,Individual,First Owner,125693
2218,14-02-2017 18:12,03-03-2017 15:25,625000,West,Washington,Auburn,Individual,First Owner,125694
2219,14-02-2017 18:12,03-03-2017 14:03,604000,West,Washington,Auburn,Individual,Second Owner,125695
2220,14-02-2017 18:57,22-02-2017 17:06,315000,Central,Illinois,Quincy,Individual,First Owner,125696
2221,14-02-2017 19:12,24-02-2017 16:35,950000,Central,Illinois,Rock Island,Individual,First Owner,125697
2222,14-02-2017 19:20,01-03-2017 14:13,400000,Central,Illinois,Quincy,Individual,First Owner,125698
2223,14-02-2017 19:47,24-02-2017 16:53,700000,Central,Illinois,Quincy,Individual,First Owner,125699
2224,14-02-2017 19:49,20-02-2017 14:24,700000,Central,Illinois,Quincy,Individual,Second Owner,125700
2225,14-02-2017 19:51,,260000,Central,Illinois,Quincy,Individual,First Owner,125701
2226,14-02-2017 19:54,22-03-2017 04:04,200000,Central,Illinois,Rock Island,Individual,First Owner,125702
2227,14-02-2017 20:20,02-03-2017 09:51,580000,Central,Illinois,Rock Island,Individual,First Owner,125703
2228,14-02-2017 20:40,23-02-2017 12:42,330000,Central,Illinois,Quincy,Individual,Second Owner,125704
