CustomerID,Region,State,City,Job,Education,Marital_status,Default,Balance,HHInsurance,CarLoan
148691,East,New York,Utica,self-employed,married,tertiary,0,1047,0,0
148698,East,New York,New York City,management,divorced,tertiary,0,2104,0,0
148761,East,Maryland,Crofton,management,single,tertiary,0,0,1,0
148796,South,Georgia,Atlanta,admin.,married,secondary,0,0,0,1
148803,West,California,Los Angeles,management,single,tertiary,0,866,0,0
148838,South,Tennessee,Cleveland,self-employed,single,tertiary,0,9962,0,0
148915,East,Maine,West Scarborough,admin.,married,tertiary,0,346,0,0
148929,West,California,Los Banos,retired,married,NA,0,2540,0,0
148950,East,New York,New York City,admin.,divorced,secondary,0,6046,1,1
149020,South,Florida,Miami,blue-collar,single,secondary,0,2486,1,0
149048,West,California,Manhattan Beach,blue-collar,married,secondary,0,580,1,1
149111,South,Florida,Miramar,admin.,married,tertiary,0,899,1,0
149146,South,Arkansas,North Little Rock,management,married,secondary,0,456,1,0
149160,West,California,Los Angeles,retired,married,secondary,0,0,0,0
149181,East,District of Columbia,Washington,technician,married,tertiary,0,825,0,0
149223,East,New York,New York City,services,married,secondary,0,4151,1,1
149244,South,Georgia,Augusta,blue-collar,single,secondary,0,734,1,1
149314,West,Washington,Seattle,services,single,secondary,0,32,1,0
149342,East,Vermont,Rutland,management,married,tertiary,0,3236,0,0
149370,Central,Texas,Dallas,management,divorced,tertiary,0,294,1,0
149384,South,Alabama,Selma,services,married,primary,0,306,1,0
149461,West,California,Los Angeles,blue-collar,married,primary,0,0,1,1
149482,West,Oregon,Troutdale,student,single,secondary,0,949,1,0
149489,West,California,Los Angeles,technician,single,secondary,0,204,0,0
149559,West,Arizona,Chandler,housemaid,married,secondary,0,127,1,0
149587,East,New York,New York City,management,married,tertiary,0,388,0,0
149678,West,Washington,Everett,management,married,tertiary,0,238,0,0
149692,East,Pennsylvania,Philadelphia,entrepreneur,single,secondary,0,278,0,0
149713,West,Washington,Seattle,management,married,tertiary,0,2987,1,0
149734,West,California,Los Angeles,management,married,tertiary,0,830,1,1
149797,East,New York,New York City,retired,divorced,tertiary,0,-309,1,0
149888,South,Georgia,Augusta,management,married,tertiary,0,2465,1,1
149895,East,Vermont,South Burlington,retired,divorced,secondary,0,-268,0,1
149958,West,Washington,Seattle,technician,single,secondary,0,4718,0,0
149972,South,Florida,Hollywood,management,married,tertiary,0,925,0,0
150147,Central,Texas,Houston,services,divorced,secondary,0,0,0,0
150161,Central,Texas,Houston,blue-collar,married,secondary,0,604,1,0
150189,West,Washington,Olympia,housemaid,married,secondary,0,0,0,0
150245,Central,Michigan,Detroit,management,married,primary,0,5310,1,0
