car_id,name,km_driven,fuel,transmission,mileage,engine,max_power,torque,seats,model
123520,Honda City V MT,86300,Petrol,Manual,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,Honda
123521,Maruti Swift Dzire VXi AT,23300,Petrol,Automatic,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,Maruti
123522,Maruti Vitara Brezza VDi,32600,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Maruti
123523,Maruti Alto K10 VXI,10300,Petrol,Manual,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,Maruti
123524,Toyota Fortuner 4x4 MT,77000,Diesel,Manual,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,Toyota
123525,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,99000,Diesel,Manual,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7,Toyota
123526,Mercedes-Benz B Class B180,27800,Diesel,Automatic,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5,Mercedes-Benz
123527,Honda Amaze S Diesel,49800,Diesel,Manual,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5,Honda
123528,Mitsubishi Pajero Sport 4X4,151000,Diesel,Manual,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7,Mitsubishi
123529,Honda City i DTEC S,54700,Diesel,Manual,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Honda
123530,Maruti Ciaz Zeta,64000,Petrol,Manual,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5,Maruti
123531,Honda Jazz VX Diesel,63000,Diesel,Manual,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Honda
123532,Toyota Innova Crysta 2.8 ZX AT BSIV,127700,Diesel,Automatic,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,Toyota
123533,Toyota Innova 2.5 G (Diesel) 7 Seater,99000,Diesel,Manual,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,Toyota
123534,Audi A6 2.0 TDI Technology,33900,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5,Audi
123535,Toyota Corolla Altis 1.8 VL CVT,25000,Petrol,Automatic,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,Toyota
123536,Audi A6 2.0 TDI  Design Edition,50000,Diesel,Automatic,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5,Audi
123537,Mercedes-Benz New C-Class 220 CDI AT,59000,Diesel,Automatic,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5,Mercedes-Benz
123538,Tata Manza ELAN Quadrajet BS IV,120000,Diesel,Manual,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5,Tata
123539,Hyundai i10 Magna,110000,Petrol,Manual,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,Hyundai
123540,Hyundai i20 Asta 1.4 CRDi,60000,Diesel,Manual,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,Hyundai
123541,Maruti Swift Dzire ZDI,147000,Diesel,Manual,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Maruti
123542,Ford Figo 1.2P Titanium MT,25000,Petrol,Manual,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,Ford
123543,Maruti Baleno Delta 1.2,30000,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,Maruti
123544,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,40000,Diesel,Manual,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5,Volkswagen
123545,Honda City i DTEC VX,135000,Diesel,Manual,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Honda
123546,Maruti Wagon R AMT VXI,30000,Petrol,Automatic,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,Maruti
123547,Volkswagen Ameo 1.5 TDI Comfortline,80000,Diesel,Manual,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,Volkswagen
123548,Maruti Vitara Brezza VDi,70000,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Maruti
123549,Maruti Vitara Brezza ZDi Plus AMT,9850,Diesel,Automatic,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Maruti
123550,Hyundai i10 Magna,60000,Petrol,Manual,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,Hyundai
123551,Maruti Swift VDI Deca,70000,Diesel,Manual,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Maruti
123552,Toyota Fortuner 4x4 MT,78000,Diesel,Manual,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,Toyota
123553,Maruti Swift Star VDI,120000,Diesel,Manual,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Maruti
123554,Maruti Ertiga ZXI,120000,Petrol,Manual,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,Maruti
123556,Volkswagen Vento Diesel Highline,170000,Diesel,Manual,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,Volkswagen
123557,Toyota Innova 2.5 VX (Diesel) 8 Seater,140000,Diesel,Manual,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,Toyota
123558,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,90000,Diesel,Manual,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,Ford
123559,BMW X1 sDrive20i xLine,30000,Petrol,Automatic,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5,BMW
123560,Maruti Celerio ZXI MT BSIV,10000,Petrol,Manual,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Maruti
123561,Datsun GO A Petrol,49000,Petrol,Manual,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5,Datsun
123562,Maruti Alto 800 VXI BSIV,32000,Petrol,Manual,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,Maruti
123563,Maruti Alto 800 LXI BSIV,38000,Petrol,Manual,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,Maruti
123565,Hyundai i10 Era 1.1,28000,Petrol,Manual,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,Hyundai
123566,Maruti Omni 8 Seater BSIV,32000,Petrol,Manual,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,Maruti
123567,Maruti Wagon R LXI LPG BSIV,44000,LPG,Manual,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5,Maruti
123568,Volkswagen Polo 1.2 MPI Comfortline,42000,Petrol,Manual,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5,Volkswagen
123569,Hyundai i10 Magna 1.1L,45000,Petrol,Manual,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,Hyundai
123570,Volkswagen Vento Petrol Highline,12000,Petrol,Manual,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,Volkswagen
123571,Maruti Zen Estilo LXI BSIII,55500,Petrol,Manual,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Maruti
123572,Hyundai i20 Asta Optional with Sunroof 1.2,61500,Petrol,Manual,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,Hyundai
123573,Maruti Swift Dzire LDI,150000,Diesel,Manual,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Maruti
123574,Hyundai Xcent 1.2 Kappa SX Option AT,72000,Petrol,Automatic,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,Hyundai
123575,Maruti Alto LX BSIII,68000,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Maruti
123576,Hyundai i20 1.4 Asta Option,110000,Diesel,Manual,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Hyundai
123577,Maruti Wagon R VXI,77000,Petrol,Manual,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,Maruti
123578,Tata Manza Aura (ABS) Quadrajet,100000,Diesel,Manual,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5,Tata
123579,Maruti Swift VXI,10000,Petrol,Manual,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,Maruti
123580,Maruti Eeco 7 Seater Standard BSIV,100000,Petrol,Manual,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7,Maruti
123581,Maruti Baleno Zeta 1.2,35000,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,Maruti
123582,Mahindra Scorpio VLX AT AIRBAG BSIV,70000,Diesel,Automatic,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,Mahindra
123583,Ford Freestyle Titanium Petrol BSIV,5000,Petrol,Manual,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5,Ford
123584,Hyundai Verna VTVT 1.6 SX,37800,Petrol,Manual,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,Hyundai
123585,Volkswagen Passat 1.8 TSI MT,114000,Petrol,Manual,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5,Volkswagen
123586,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,48000,Petrol,Manual,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5,Tata
123587,Mahindra XUV500 W11 Option AWD,32000,Diesel,Manual,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7,Mahindra
123588,Tata Indigo CS LS (TDI) BS-III,100000,Diesel,Manual,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5,Tata
123589,Hyundai Verna 1.6 SX,150000,Diesel,Manual,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,Hyundai
123590,Hyundai i20 Magna 1.4 CRDi (Diesel),69000,Diesel,Manual,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,Hyundai
123591,Toyota Corolla Altis G,100000,Petrol,Manual,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5,Toyota
123592,Maruti Celerio VXI,13000,Petrol,Manual,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Maruti
123593,Maruti Vitara Brezza ZDi Plus Dual Tone,60000,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Maruti
123594,Maruti Swift Dzire VXI,40000,Petrol,Manual,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,Maruti
123595,Maruti Wagon R VXI BS IV,35000,Petrol,Manual,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Maruti
123597,Nissan Terrano XL 85 PS,70000,Diesel,Manual,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,Nissan
123598,Hyundai Creta 1.6 CRDi SX,50000,Diesel,Manual,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,Hyundai
123599,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,76139,Diesel,Manual,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,Ford
123600,Maruti Swift Dzire VDi,175000,Diesel,Manual,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,Maruti
123601,Renault KWID 1.0,25000,Petrol,Manual,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,Renault
123602,Maruti Celerio VXI,40000,Petrol,Manual,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Maruti
123603,Maruti Alto LXi,65000,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Maruti
123604,Maruti Ertiga VDI,90000,Diesel,Manual,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,Maruti
123605,Hyundai Santro Xing GLS,80000,Petrol,Manual,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,Hyundai
123606,Maruti Ertiga VDI,110000,Diesel,Manual,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,Maruti
123607,Honda Amaze S i-VTEC,1303,Petrol,Manual,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5,Honda
123608,Audi Q5 35TDI Premium Plus,31800,Diesel,Automatic,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5,Audi
123609,Lexus ES 300h,20000,Petrol,Automatic,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,Lexus
123610,Jaguar XF 2.0 Diesel Portfolio,45000,Diesel,Automatic,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,Jaguar
123611,Jeep Wrangler 2016-2019 3.6 4X4,17000,Petrol,Automatic,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5,Jeep
123612,Land Rover Discovery Sport TD4 SE,21000,Diesel,Automatic,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7,Land
123613,Mercedes-Benz S-Class S 350 CDI,37000,Diesel,Automatic,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5,Mercedes-Benz
123614,BMW 5 Series 520d Sport Line,29500,Diesel,Automatic,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5,BMW
123616,BMW X4 M Sport X xDrive20d,7500,Diesel,Automatic,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,BMW
123617,Skoda Superb LK 1.8 TSI AT,50000,Petrol,Automatic,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm,5,Skoda
123618,Mercedes-Benz E-Class E250 Edition E,35000,Diesel,Automatic,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5,Mercedes-Benz
123619,MG Hector Sharp AT BSIV,19000,Petrol,Automatic,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5,MG
123620,Honda City i-VTEC CVT VX,41000,Petrol,Automatic,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5,Honda
123621,Toyota Corolla Altis 1.8 G CVT,39000,Petrol,Automatic,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,Toyota
123622,Volvo XC40 D4 R-Design,22000,Diesel,Automatic,18.0 kmpl,1969 CC,190 bhp,400Nm,5,Volvo
123623,Audi Q7 35 TDI Quattro Premium,53000,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7,Audi
123624,Maruti Ciaz ZDi,40000,Diesel,Manual,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Maruti
123625,Mercedes-Benz S-Class S 350 CDI,47000,Diesel,Automatic,13.5 kmpl,2987 CC,282 bhp,490Nm@ 1600rpm,5,Mercedes-Benz
123626,BMW 5 Series 523i,72200,Petrol,Automatic,10.8 kmpl,2497 CC,150 bhp,250 Nm at 2750 rpm,5,BMW
123627,Hyundai Elantra S,49900,Petrol,Manual,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,Hyundai
123628,Jaguar XE 2016-2019 2.0L Diesel Prestige,9000,Diesel,Automatic,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,Jaguar
123629,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,11000,Petrol,Manual,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5,Tata
123630,Volkswagen Vento Petrol Highline,49000,Petrol,Manual,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,Volkswagen
123631,Hyundai Elantra SX,95000,Petrol,Manual,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,Hyundai
123632,Skoda Rapid 1.6 MPI AT Elegance,11000,Petrol,Automatic,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,Skoda
123633,Mercedes-Benz CLA 200 CGI Sport,18000,Petrol,Automatic,15.04 kmpl,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5,Mercedes-Benz
123634,Maruti Ertiga ZXI,46100,Petrol,Manual,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,Maruti
123635,Mercedes-Benz New C-Class C 200 AVANTGARDE,16000,Petrol,Automatic,14.74 kmpl,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm,5,Mercedes-Benz
123636,Honda City V AT,18000,Petrol,Automatic,15.6 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,Honda
123637,Toyota Glanza V CVT,9654,Petrol,Automatic,19.56 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,Toyota
123638,Maruti Alto K10 VXI,11000,Petrol,Manual,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,Maruti
123639,Maruti Swift VXI,24300,Petrol,Manual,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,Maruti
123640,Toyota Innova Crysta 2.8 ZX AT BSIV,42163,Diesel,Automatic,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,Toyota
123641,Tata Nexon 1.5 Revotorq XZA Plus DualTone,8000,Diesel,Automatic,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,Tata
123642,BMW 3 Series 320d Luxury Line,30000,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,BMW
123643,Toyota Camry 2.5 Hybrid,41000,Petrol,Automatic,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,Toyota
123644,BMW 5 Series 520d Luxury Line,12000,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,BMW
123645,Toyota Camry W4 (AT),71000,Petrol,Automatic,12.1 kmpl,2362 CC,164.7 bhp,224Nm@ 4000rpm,5,Toyota
123646,Maruti Ertiga BSIV ZXI Plus,20000,Petrol,Manual,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7,Maruti
123647,Volvo XC90 T8 Excellence BSIV,30000,Petrol,Automatic,42.0 kmpl,1969 CC,400 bhp,640Nm@ 1740rpm,4,Volvo
123648,Volkswagen Vento Diesel Highline,100000,Diesel,Manual,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,Volkswagen
123649,Ford Figo Aspire 1.2 Ti-VCT Trend,9500,Petrol,Manual,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,Ford
123650,Ford Figo Diesel LXI,120000,Diesel,Manual,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5,Ford
123651,Maruti Swift VXI Optional,36600,Petrol,Manual,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,Maruti
123652,Maruti Wagon R AMT VXI,50000,Petrol,Automatic,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,Maruti
123653,Hyundai i20 Magna 1.2,14000,Petrol,Manual,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,Hyundai
123654,Maruti 800 Std,40000,Petrol,Manual,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,Maruti
123655,Maruti Ritz VDi,120000,Diesel,Manual,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5,Maruti
123656,Hyundai Grand i10 Magna,70000,Petrol,Manual,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,Hyundai
123657,Volkswagen Ameo 1.0 MPI Trendline,13000,Petrol,Manual,19.44 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5,Volkswagen
123658,Hyundai Grand i10 Sportz,60000,Petrol,Manual,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,Hyundai
123659,Maruti Swift Dzire VXI,35000,Petrol,Manual,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,Maruti
123660,Hyundai Xcent 1.2 Kappa S,44000,Petrol,Manual,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,Hyundai
123661,Honda City 1.5 EXI,120000,Petrol,Manual,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm,5,Honda
123662,Toyota Corolla Altis Diesel D4DG,60000,Diesel,Manual,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm,5,Toyota
123663,Daewoo Matiz SD,60000,Petrol,Manual,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm,5,Daewoo
