CustomerID,Reg,State,City,Marital_status,Education,Default,Balance,HHInsurance,CarLoan
105018,East,Pennsylvania,Philadelphia,married,secondary,0,53,1,0
105053,South,North Carolina,Charlotte,single,secondary,0,733,1,0
105074,East,District of Columbia,Washington,married,secondary,0,341,0,0
105102,Central,Oklahoma,Oklahoma City,single,tertiary,0,625,0,1
105144,West,California,Los Angeles,single,secondary,0,353,1,0
105172,West,California,San Diego,single,secondary,0,344,1,0
105214,East,Maryland,Dundalk,divorced,NA,0,465,1,0
105221,West,California,Los Angeles,married,secondary,0,603,0,1
105235,East,New Jersey,Union,married,tertiary,0,1204,0,0
105256,South,Florida,Miami,single,tertiary,0,437,0,0
105284,East,District of Columbia,Washington,single,tertiary,0,4831,0,0
105312,East,New York,New York City,single,tertiary,0,533,0,0
105347,East,New York,New York City,married,secondary,0,246,1,0
105480,South,Arkansas,Paragould,married,secondary,0,260,1,0
105494,East,New York,New York City,married,primary,0,2785,0,0
105578,East,District of Columbia,Washington,single,tertiary,0,2589,0,0
105585,East,District of Columbia,Washington,married,tertiary,0,589,0,0
105634,East,Massachusetts,Boston,single,tertiary,0,1623,0,0
105676,West,California,Los Angeles,married,tertiary,0,3371,0,0
105760,East,Pennsylvania,Philadelphia,single,secondary,0,505,0,1
105767,Central,Illinois,Chicago,married,primary,0,56,0,0
105809,West,California,Los Angeles,divorced,secondary,0,587,0,0
105816,West,Washington,Seattle,single,NA,0,6013,1,0
105886,Central,Illinois,Chicago,married,secondary,0,2160,1,1
105893,West,California,Los Angeles,single,tertiary,0,2,0,0
105963,East,Pennsylvania,Philadelphia,single,tertiary,0,538,0,0
105970,West,California,Los Angeles,married,tertiary,0,0,1,0
106033,West,California,Los Angeles,divorced,tertiary,0,6468,1,0
106075,West,Washington,Seattle,married,tertiary,0,66,1,0
106103,West,Washington,Seattle,married,secondary,0,1625,0,0
106180,East,District of Columbia,Washington,divorced,secondary,0,7111,1,0
106306,Central,Illinois,Chicago,married,primary,0,5220,0,0
106320,Central,Texas,Houston,married,secondary,0,2896,0,0
106341,West,California,Los Angeles,single,tertiary,0,19,0,0
106376,Central,Illinois,Chicago,married,tertiary,0,473,0,0
106383,East,New York,Elmira,single,secondary,0,2424,0,0
106439,Central,Illinois,Hoffman Estates,married,primary,0,-9,1,0
106530,West,Washington,Seattle,single,secondary,0,0,0,0
106537,Central,Kansas,Hutchinson,single,secondary,0,1709,0,1
106558,East,Connecticut,Colchester,married,secondary,0,1515,1,0
106565,West,Washington,Seattle,married,NA,0,1504,1,0
106572,Central,Michigan,Canton,married,secondary,0,315,0,0
106663,East,New York,New York City,married,secondary,0,262,0,0
106677,South,Florida,Hollywood,married,primary,0,7459,1,0
106705,East,New York,New York City,married,secondary,0,403,1,0
106719,East,Connecticut,Hartford,married,secondary,0,978,0,0
106803,West,California,Los Angeles,married,tertiary,0,83,0,0
106810,East,New York,New York City,married,tertiary,0,296,0,1
106852,South,North Carolina,Charlotte,single,tertiary,1,-405,1,1
106859,West,Utah,Pleasant Grove,divorced,primary,0,0,0,0
106894,South,Georgia,Atlanta,married,secondary,0,139,1,1
106943,East,Pennsylvania,Philadelphia,divorced,primary,0,-291,1,1
106964,East,New York,New York City,married,secondary,0,2823,1,0
106992,East,Massachusetts,Boston,married,secondary,0,0,0,0
107153,East,New York,New York City,married,NA,0,618,0,0
107181,West,California,San Diego,married,primary,0,3229,1,0
107202,Central,Wisconsin,Fitchburg,married,NA,0,991,0,0
107216,Central,Illinois,Chicago,single,secondary,0,98,0,0
107272,West,California,San Francisco,single,secondary,0,302,0,0
107293,West,California,Los Angeles,married,secondary,0,1451,0,0
107342,Central,Kansas,Leavenworth,single,tertiary,0,992,1,0
107349,West,Washington,Seattle,married,tertiary,0,2351,0,0
107461,West,California,East Los Angeles,divorced,tertiary,0,443,0,0
107503,West,California,San Francisco,divorced,secondary,0,36,1,1
107594,South,Georgia,Columbus,single,secondary,0,843,0,0
107615,East,New York,New York City,single,tertiary,0,401,0,0
107720,West,California,Los Angeles,married,secondary,0,8491,1,0
107727,Central,Texas,Dallas,married,secondary,0,0,0,0
107755,South,Georgia,Atlanta,single,secondary,0,1522,0,0
107874,South,North Carolina,Goldsboro,married,secondary,0,48,1,0
107916,East,Ohio,Mount Vernon,married,tertiary,0,653,0,0
108063,South,North Carolina,Charlotte,divorced,primary,0,-233,1,0
108070,Central,Wisconsin,Watertown,single,secondary,0,2,0,0
108098,Central,Michigan,Detroit,divorced,primary,0,301,1,0
108189,East,New York,North Babylon,single,secondary,0,382,0,0
108245,West,Washington,Marysville,divorced,secondary,0,-251,0,0
108294,East,Massachusetts,Boston,married,primary,0,3324,0,0
108322,Central,Texas,Cedar Hill,single,secondary,0,152,1,0
108329,East,Pennsylvania,Philadelphia,married,tertiary,0,160,0,0
108441,East,Connecticut,Norwich,married,tertiary,0,553,1,0
108455,South,Florida,Miami,divorced,primary,0,2656,1,0
108504,East,New York,New York City,married,primary,0,3518,1,0
108553,West,California,Manhattan Beach,single,tertiary,0,760,1,0
108560,Central,Texas,Dallas,married,secondary,1,-367,1,0
108574,Central,Wisconsin,Eau Claire,married,tertiary,0,2816,0,0
108581,West,California,Los Angeles,single,NA,0,1011,0,0
108637,South,Tennessee,Columbia,single,tertiary,0,272,1,0
108665,East,New York,New York City,married,tertiary,0,1722,1,0
108707,Central,Michigan,Clinton,single,NA,0,53,0,0
108882,South,Alabama,Selma,married,secondary,0,35,0,0
